X,Y,OBJECTID,TYPE_BANK,STANDPLAATS,WIJK
193783.220899999,444316.718800001,1335,Bank,Park,Presikhaaf-Oost
193752.7322,444303.940699998,1336,Bank,Park,Presikhaaf-Oost
193746.393599998,444300.946600001,1337,Bank,Park,Presikhaaf-Oost
193743.894499999,444276.8609,1338,Bank,Park,Presikhaaf-Oost
193741.712699998,444276.182999998,1339,Bank,Park,Presikhaaf-Oost
193718.3937,444286.719099998,1340,Bank,Park,Presikhaaf-Oost
193722.451400001,444288.451400001,1341,Bank,Park,Presikhaaf-Oost
193703.5647,444299.5123,1342,Bank,Park,Presikhaaf-Oost
193669.1514,444289.528000001,1343,Bank,Park,Presikhaaf-Oost
193637.7073,444307.022599999,1344,Bank,Park,Presikhaaf-Oost
193642.378600001,444311.6622,1345,Bank,Park,Presikhaaf-Oost
193640.446400002,444310.159400001,1346,Bank,Park,Presikhaaf-Oost
193641.6567,444326.1164,1347,Bank,Park,Presikhaaf-Oost
193640.734999999,444327.202100001,1348,Bank,Park,Presikhaaf-Oost
193638.5473,444350.905499998,1349,Bank,Park,Presikhaaf-Oost
193640.052299999,444344.010899998,1350,Bank,Park,Presikhaaf-Oost
193640.7403,444308.879799999,1351,Bank,Park,Presikhaaf-Oost
193641.9967,444309.723000001,1352,Bank,Park,Presikhaaf-Oost
193643.024999999,444310.784600001,1353,Bank,Park,Presikhaaf-Oost
193612.753699999,444261.252500001,1354,Bank,Park,Presikhaaf-Oost
193607.944499999,444260.656300001,1355,Bank,Park,Presikhaaf-Oost
193570.0645,444209.2788,1356,Bijzondere bank,Park,Presikhaaf-Oost
193544.611400001,444165.985800002,1357,Bank,Park,Presikhaaf-Oost
193549.571199998,444163.570900001,1358,Bank,Park,Presikhaaf-Oost
193551.984000001,444165.669599999,1359,Bank,Park,Presikhaaf-Oost
193550.345199998,444168.022999998,1360,Bank,Park,Presikhaaf-Oost
193547.819600001,444166.390999999,1361,Bank,Park,Presikhaaf-Oost
193505.988200001,444198.7817,1362,Picknickbank,Park,Presikhaaf-Oost
189344.82,445111.837099999,1363,Bank,Bushalte,Burgemeesterswijk/Hoogkamp
188724.175900001,446325.669799998,1364,Bank,Speeltuin,Schaarsbergen
188814.246199999,446907.632399999,1365,Bank,Park,Schaarsbergen
192006.718199998,444224.580400001,1366,Bank,Trottoir,Velperweg e.o.
193097.2141,443734.975400001,1367,Bank,Speeltuin,Presikhaaf-West
192037.144900002,443538.559999999,1368,Bijzondere bank,Park,Arnhemse Broek
190764.7084,440060.0174,1369,Bank,Speeltuin,Vredenburg/Kronenburg
190767.635400001,440057.338500001,1370,Bank,Speeltuin,Vredenburg/Kronenburg
190455.566399999,442347.227600001,1371,Bank,Trottoir,Malburgen-West
193381.039500002,444642.855900001,1372,Bank,Park,Presikhaaf-Oost
193391.375999998,444632.2256,1373,Bank,Park,Presikhaaf-Oost
193434.848099999,444692.534600001,1374,Bank,Park,Presikhaaf-Oost
193426.456,444641.730300002,1375,Bank,Park,Presikhaaf-Oost
193458.159699999,444619.943300001,1376,Bank,Park,Presikhaaf-Oost
193436.664500002,444592.221999999,1377,Bank,Park,Presikhaaf-Oost
193413.473900001,444594.007199999,1378,Picknickbank,Park,Presikhaaf-Oost
193384.638999999,444561.041200001,1379,Bank,Park,Presikhaaf-Oost
193383.0407,444606.1448,1380,Bank,Park,Presikhaaf-Oost
193334.268800002,444578.891399998,1381,Bank,Park,Presikhaaf-Oost
187049.6952,439696.4771,1382,Bank,Park,De Laar
186925.312399998,440794.168900002,1383,Bank,Bushalte,Schuytgraaf
193027.076699998,446078.2784,1384,Bank,Trottoir,Geitenkamp
193024.348200001,446075.153000001,1385,Bank,Trottoir,Geitenkamp
194591.982900001,443862.6197,1386,Bank,Park,Presikhaaf-Oost
